primary_key,codes,Perm_crop,year,area_ha
444,111160115,Vinha,2019,25
445,111160115,Outras culturas permanentes,1989,
446,111160115,Outras culturas permanentes,1999,
447,111160115,Outras culturas permanentes,2009,
448,111160115,Outras culturas permanentes,2019,
449,111160142,Total,1989,27
450,111160142,Total,1999,35
451,111160142,Total,2009,12
452,111160142,Total,2019,25
453,111160142,Frutos frescos (excepto citrinos),1989,1
454,111160142,Frutos frescos (excepto citrinos),1999,0
455,111160142,Frutos frescos (excepto citrinos),2009,0
456,111160142,Frutos frescos (excepto citrinos),2019,0
457,111160142,Citrinos,1989,0
458,111160142,Citrinos,1999,0
459,111160142,Citrinos,2009,1
460,111160142,Citrinos,2019,0
461,111160142,Frutos sub-tropicais,1989,
462,111160142,Frutos sub-tropicais,1999,0
463,111160142,Frutos sub-tropicais,2009,0
464,111160142,Frutos sub-tropicais,2019,
465,111160142,Frutos de casca rija,1989,0
466,111160142,Frutos de casca rija,1999,0
467,111160142,Frutos de casca rija,2009,0
468,111160142,Frutos de casca rija,2019,1
469,111160142,Olival,1989,2
470,111160142,Olival,1999,0
471,111160142,Olival,2009,0
472,111160142,Olival,2019,
473,111160142,Vinha,1989,24
474,111160142,Vinha,1999,35
475,111160142,Vinha,2009,11
476,111160142,Vinha,2019,24
477,111160142,Outras culturas permanentes,1989,
478,111160142,Outras culturas permanentes,1999,
479,111160142,Outras culturas permanentes,2009,
480,111160142,Outras culturas permanentes,2019,
481,111160121,Total,1989,3
482,111160121,Total,1999,10
483,111160121,Total,2009,6
484,111160121,Total,2019,11
485,111160121,Frutos frescos (excepto citrinos),1989,
486,111160121,Frutos frescos (excepto citrinos),1999,0
487,111160121,Frutos frescos (excepto citrinos),2009,
488,111160121,Frutos frescos (excepto citrinos),2019,0
489,111160121,Citrinos,1989,
490,111160121,Citrinos,1999,0
491,111160121,Citrinos,2009,
492,111160121,Citrinos,2019,0
493,111160121,Frutos sub-tropicais,1989,
494,111160121,Frutos sub-tropicais,1999,
495,111160121,Frutos sub-tropicais,2009,
496,111160121,Frutos sub-tropicais,2019,0
497,111160121,Frutos de casca rija,1989,
498,111160121,Frutos de casca rija,1999,1
499,111160121,Frutos de casca rija,2009,1
500,111160121,Frutos de casca rija,2019,1
501,111160121,Olival,1989,
502,111160121,Olival,1999,
503,111160121,Olival,2009,
504,111160121,Olival,2019,1
505,111160121,Vinha,1989,3
506,111160121,Vinha,1999,9
507,111160121,Vinha,2009,4
508,111160121,Vinha,2019,8
509,111160121,Outras culturas permanentes,1989,
